District,Time Id,Dose 1,Dose 2
AP_Chittoor,week31,112345,73537
AP_East Godavari,week1,12160,0
AP_East Godavari,week2,9677,0
AP_East Godavari,week3,13061,0
AP_East Godavari,week4,5468,301
AP_East Godavari,week5,6711,4189
AP_East Godavari,week6,9612,7603
AP_East Godavari,week7,14003,7046
AP_East Godavari,week8,27104,6763
AP_East Godavari,week9,53331,6364
AP_East Godavari,week10,61245,7423
AP_East Godavari,week11,38013,2478
AP_East Godavari,week12,62966,14795
AP_East Godavari,week13,72392,10523
AP_East Godavari,week14,44552,61242
AP_East Godavari,week15,52050,37828
AP_East Godavari,week16,11738,30496
AP_East Godavari,week17,4967,8374
AP_East Godavari,week18,3298,26204
AP_East Godavari,week19,196451,17126
AP_East Godavari,week20,81984,4767
AP_East Godavari,week21,123698,1250
AP_East Godavari,week22,60655,572
AP_East Godavari,week23,191003,17470
AP_East Godavari,week24,152745,22813
AP_East Godavari,week25,39974,39850
AP_East Godavari,week26,101683,57558
AP_East Godavari,week27,54724,51655
AP_East Godavari,week28,182868,56708
AP_East Godavari,week29,188187,37474
AP_East Godavari,week30,51170,13601
AP_East Godavari,week31,17551,32960
AP_Guntur,week1,3477,0
AP_Guntur,week2,5396,0
AP_Guntur,week3,6811,0
AP_Guntur,week4,6595,1086
AP_Guntur,week5,13785,5895
AP_Guntur,week6,13238,3060
AP_Guntur,week7,12115,3825
AP_Guntur,week8,14562,5088
AP_Guntur,week9,33485,7243
AP_Guntur,week10,51973,7934
AP_Guntur,week11,47332,5396
AP_Guntur,week12,63977,9129
AP_Guntur,week13,68230,6355
AP_Guntur,week14,61606,42091
AP_Guntur,week15,60285,21237
AP_Guntur,week16,29194,32102
AP_Guntur,week17,7299,22036
AP_Guntur,week18,9247,15162
AP_Guntur,week19,152440,22906
AP_Guntur,week20,81969,9366
AP_Guntur,week21,88154,7647
AP_Guntur,week22,58124,8600
AP_Guntur,week23,182062,28971
AP_Guntur,week24,124702,28917
AP_Guntur,week25,40069,12451
AP_Guntur,week26,125905,60879
AP_Guntur,week27,38329,56945
AP_Guntur,week28,126988,64637
AP_Guntur,week29,141089,60748
AP_Guntur,week30,90097,42735
AP_Guntur,week31,78669,47165
AP_Krishna,week1,4537,0
AP_Krishna,week2,5503,0
AP_Krishna,week3,7259,0
AP_Krishna,week4,7360,525
AP_Krishna,week5,5112,6561
AP_Krishna,week6,10344,4324
AP_Krishna,week7,10622,3201
AP_Krishna,week8,21069,6327
AP_Krishna,week9,42785,4674
AP_Krishna,week10,51408,6327
AP_Krishna,week11,48922,4496
AP_Krishna,week12,65440,6132
AP_Krishna,week13,83044,4742
AP_Krishna,week14,50683,49445
AP_Krishna,week15,58323,35153
AP_Krishna,week16,20323,42632
AP_Krishna,week17,5469,37842
AP_Krishna,week18,7482,20487
AP_Krishna,week19,168626,11410
AP_Krishna,week20,86588,5265
AP_Krishna,week21,128215,5890
AP_Krishna,week22,56532,3695
AP_Krishna,week23,204267,27920
AP_Krishna,week24,99712,41564
AP_Krishna,week25,29328,19280
AP_Krishna,week26,40128,63668
AP_Krishna,week27,85962,47349
AP_Krishna,week28,127294,45350
AP_Krishna,week29,153529,32553
AP_Krishna,week30,70395,20777
AP_Krishna,week31,46365,53761
AP_Kurnool,week1,3786,0
AP_Kurnool,week2,3057,0
AP_Kurnool,week3,9757,0
AP_Kurnool,week4,4804,507
AP_Kurnool,week5,6159,5033
AP_Kurnool,week6,6973,2790
AP_Kurnool,week7,6273,3637
AP_Kurnool,week8,11088,3614
AP_Kurnool,week9,30788,4010
AP_Kurnool,week10,59180,3822
AP_Kurnool,week11,39595,3154
AP_Kurnool,week12,67498,5689
AP_Kurnool,week13,43961,3888
AP_Kurnool,week14,37187,41220
AP_Kurnool,week15,43758,28287
AP_Kurnool,week16,12550,35190
AP_Kurnool,week17,3352,13041
AP_Kurnool,week18,9545,14680
AP_Kurnool,week19,108733,4713
AP_Kurnool,week20,62562,4565
AP_Kurnool,week21,60533,1417
AP_Kurnool,week22,28129,416
AP_Kurnool,week23,119318,11516
AP_Kurnool,week24,94180,20846
AP_Kurnool,week25,9569,9939
AP_Kurnool,week26,94945,57333
AP_Kurnool,week27,29049,41838
AP_Kurnool,week28,75143,79479
AP_Kurnool,week29,72343,51593
AP_Kurnool,week30,88877,40411
AP_Kurnool,week31,80463,47426
AP_Prakasam,week1,6585,0
AP_Prakasam,week2,2615,0
AP_Prakasam,week3,4817,0
AP_Prakasam,week4,7876,137
AP_Prakasam,week5,3414,3506
AP_Prakasam,week6,6550,2843
AP_Prakasam,week7,5824,1596
AP_Prakasam,week8,10784,2653
AP_Prakasam,week9,25546,6845
AP_Prakasam,week10,44152,3720
AP_Prakasam,week11,52215,4021
AP_Prakasam,week12,44883,4827
AP_Prakasam,week13,57871,4532
AP_Prakasam,week14,37395,32415
AP_Prakasam,week15,44386,34129
AP_Prakasam,week16,19314,34225
AP_Prakasam,week17,1626,7033
AP_Prakasam,week18,17266,26542
AP_Prakasam,week19,114760,7894
AP_Prakasam,week20,61460,14224
AP_Prakasam,week21,72663,3336
AP_Prakasam,week22,24697,1243
AP_Prakasam,week23,157027,17632
AP_Prakasam,week24,78892,16326
AP_Prakasam,week25,24046,12173
AP_Prakasam,week26,96432,32374
AP_Prakasam,week27,19397,31970
AP_Prakasam,week28,52507,120999
AP_Prakasam,week29,64084,42403
AP_Prakasam,week30,72828,46193
AP_Prakasam,week31,31120,31381
AP_S.P.S. Nellore,week1,5936,0
AP_S.P.S. Nellore,week2,6518,0
AP_S.P.S. Nellore,week3,14431,0
AP_S.P.S. Nellore,week4,5320,656
AP_S.P.S. Nellore,week5,8164,8992
AP_S.P.S. Nellore,week6,8471,4880
AP_S.P.S. Nellore,week7,11531,4787
AP_S.P.S. Nellore,week8,13202,4419
AP_S.P.S. Nellore,week9,35573,9774
AP_S.P.S. Nellore,week10,44788,7970
AP_S.P.S. Nellore,week11,33394,4696
AP_S.P.S. Nellore,week12,42868,6163
AP_S.P.S. Nellore,week13,54787,6013
AP_S.P.S. Nellore,week14,30394,43730
AP_S.P.S. Nellore,week15,47084,26938
AP_S.P.S. Nellore,week16,24135,31388
AP_S.P.S. Nellore,week17,6041,18563
AP_S.P.S. Nellore,week18,6682,5596
AP_S.P.S. Nellore,week19,114953,5796
AP_S.P.S. Nellore,week20,55848,5349
AP_S.P.S. Nellore,week21,59906,5062
AP_S.P.S. Nellore,week22,29155,2188
AP_S.P.S. Nellore,week23,122740,24697
AP_S.P.S. Nellore,week24,55345,54629
AP_S.P.S. Nellore,week25,30696,37913
AP_S.P.S. Nellore,week26,61176,49403
AP_S.P.S. Nellore,week27,13419,37921
AP_S.P.S. Nellore,week28,97356,77812
AP_S.P.S. Nellore,week29,71386,23916
AP_S.P.S. Nellore,week30,46777,19438
AP_S.P.S. Nellore,week31,31308,9338
AP_Srikakulam,week1,3868,0
AP_Srikakulam,week2,4355,0
AP_Srikakulam,week3,14156,0
AP_Srikakulam,week4,3603,713
AP_Srikakulam,week5,6284,7414
AP_Srikakulam,week6,4330,2380
AP_Srikakulam,week7,8282,5183
AP_Srikakulam,week8,12839,4627
AP_Srikakulam,week9,21728,2641
AP_Srikakulam,week10,24670,2067
AP_Srikakulam,week11,39516,3238
AP_Srikakulam,week12,50040,6822
AP_Srikakulam,week13,44219,3288
AP_Srikakulam,week14,29347,21652
AP_Srikakulam,week15,38616,19202
AP_Srikakulam,week16,9149,24813
AP_Srikakulam,week17,2425,10777
AP_Srikakulam,week18,2515,9004
AP_Srikakulam,week19,117288,1581
AP_Srikakulam,week20,61290,1293
AP_Srikakulam,week21,47487,3231
AP_Srikakulam,week22,55863,2318
AP_Srikakulam,week23,134029,21196
AP_Srikakulam,week24,62803,23839
AP_Srikakulam,week25,11928,19136
AP_Srikakulam,week26,47357,36410
AP_Srikakulam,week27,14540,25097
AP_Srikakulam,week28,58995,43982
AP_Srikakulam,week29,77802,23430
AP_Srikakulam,week30,19245,11638
AP_Srikakulam,week31,9529,10111
AP_Visakhapatnam,week1,6533,0
AP_Visakhapatnam,week2,8039,0
AP_Visakhapatnam,week3,7407,0
AP_Visakhapatnam,week4,6649,240
AP_Visakhapatnam,week5,7909,8113
AP_Visakhapatnam,week6,15229,6592
AP_Visakhapatnam,week7,11508,3280
AP_Visakhapatnam,week8,18438,5457
AP_Visakhapatnam,week9,30892,3734
AP_Visakhapatnam,week10,46378,7258
AP_Visakhapatnam,week11,93075,4740
AP_Visakhapatnam,week12,63493,11033
AP_Visakhapatnam,week13,57367,7651
AP_Visakhapatnam,week14,43085,47116
AP_Visakhapatnam,week15,59797,29471
AP_Visakhapatnam,week16,29289,35098
AP_Visakhapatnam,week17,6611,17744
AP_Visakhapatnam,week18,7184,21754
AP_Visakhapatnam,week19,146523,10452
AP_Visakhapatnam,week20,118662,6747
AP_Visakhapatnam,week21,140166,4895
AP_Visakhapatnam,week22,83834,5130
AP_Visakhapatnam,week23,192034,21423
AP_Visakhapatnam,week24,135976,41206
AP_Visakhapatnam,week25,22396,19144
AP_Visakhapatnam,week26,86242,47130
AP_Visakhapatnam,week27,32270,67771
AP_Visakhapatnam,week28,104558,53137
AP_Visakhapatnam,week29,128879,87970
AP_Visakhapatnam,week30,165151,48873
AP_Visakhapatnam,week31,194637,58232
AP_Vizianagaram,week1,3674,0
AP_Vizianagaram,week2,2757,0
AP_Vizianagaram,week3,5930,0
AP_Vizianagaram,week4,2496,342
AP_Vizianagaram,week5,5681,6132
AP_Vizianagaram,week6,4290,2328
AP_Vizianagaram,week7,5300,1619
AP_Vizianagaram,week8,7420,2129
AP_Vizianagaram,week9,16756,1670
AP_Vizianagaram,week10,24519,2042
AP_Vizianagaram,week11,30876,2325
AP_Vizianagaram,week12,44161,6507
AP_Vizianagaram,week13,47849,2791
AP_Vizianagaram,week14,21117,22842
AP_Vizianagaram,week15,31407,18846
AP_Vizianagaram,week16,10382,23565
AP_Vizianagaram,week17,919,6666
AP_Vizianagaram,week18,1862,4244
AP_Vizianagaram,week19,88118,3624
AP_Vizianagaram,week20,54682,3133
AP_Vizianagaram,week21,45424,501
AP_Vizianagaram,week22,40962,575
AP_Vizianagaram,week23,110323,7708
AP_Vizianagaram,week24,59650,14356
AP_Vizianagaram,week25,9420,4523
AP_Vizianagaram,week26,38443,27804
AP_Vizianagaram,week27,21093,14780
AP_Vizianagaram,week28,35467,15428
AP_Vizianagaram,week29,67105,13452
AP_Vizianagaram,week30,83003,10085
AP_Vizianagaram,week31,57765,13867
AP_West Godavari,week1,5536,0
AP_West Godavari,week2,4225,0
AP_West Godavari,week3,7166,0
AP_West Godavari,week4,3233,104
AP_West Godavari,week5,12704,5827
AP_West Godavari,week6,11580,4344
AP_West Godavari,week7,8869,3571
AP_West Godavari,week8,14021,3356
AP_West Godavari,week9,26653,5047
AP_West Godavari,week10,35978,5506
AP_West Godavari,week11,58311,4435
AP_West Godavari,week12,51579,10806
AP_West Godavari,week13,51194,9952
AP_West Godavari,week14,25803,47006
AP_West Godavari,week15,48527,29720
AP_West Godavari,week16,25452,28287
AP_West Godavari,week17,2163,26860
AP_West Godavari,week18,2033,530
AP_West Godavari,week19,134268,28111
AP_West Godavari,week20,93977,2911
AP_West Godavari,week21,117487,1003
AP_West Godavari,week22,53604,389
AP_West Godavari,week23,244099,6086
AP_West Godavari,week24,104704,18569
AP_West Godavari,week25,46736,19464
AP_West Godavari,week26,98887,23525
AP_West Godavari,week27,26124,18445
AP_West Godavari,week28,114523,82791
AP_West Godavari,week29,107760,28804
AP_West Godavari,week30,105351,16514
AP_West Godavari,week31,98710,42559
AP_Y.S.R. Kadapa,week1,4235,0
AP_Y.S.R. Kadapa,week2,2878,0
AP_Y.S.R. Kadapa,week3,4669,0
AP_Y.S.R. Kadapa,week4,3965,552
AP_Y.S.R. Kadapa,week5,7616,6379
AP_Y.S.R. Kadapa,week6,7687,2311
AP_Y.S.R. Kadapa,week7,3599,1416
AP_Y.S.R. Kadapa,week8,15717,1786
AP_Y.S.R. Kadapa,week9,38263,2710
AP_Y.S.R. Kadapa,week10,72296,5525
AP_Y.S.R. Kadapa,week11,27116,2294
AP_Y.S.R. Kadapa,week12,50555,6526
AP_Y.S.R. Kadapa,week13,41166,6442
AP_Y.S.R. Kadapa,week14,32423,36562
AP_Y.S.R. Kadapa,week15,35731,32761
AP_Y.S.R. Kadapa,week16,22875,42650
AP_Y.S.R. Kadapa,week17,292,3000
AP_Y.S.R. Kadapa,week18,2905,11757
AP_Y.S.R. Kadapa,week19,108856,9551
AP_Y.S.R. Kadapa,week20,64019,5699
AP_Y.S.R. Kadapa,week21,39686,2280
AP_Y.S.R. Kadapa,week22,43812,3407
AP_Y.S.R. Kadapa,week23,134627,17974
AP_Y.S.R. Kadapa,week24,71843,26127
AP_Y.S.R. Kadapa,week25,6155,7326
AP_Y.S.R. Kadapa,week26,69432,46091
AP_Y.S.R. Kadapa,week27,18518,20066
AP_Y.S.R. Kadapa,week28,46446,61147
AP_Y.S.R. Kadapa,week29,47404,24375
AP_Y.S.R. Kadapa,week30,18648,8566
AP_Y.S.R. Kadapa,week31,17965,20336
AR_Anjaw,week1,147,0
AR_Anjaw,week2,107,0
AR_Anjaw,week3,21,0
AR_Anjaw,week4,112,0
AR_Anjaw,week5,206,117
AR_Anjaw,week6,99,115
AR_Anjaw,week7,56,18
AR_Anjaw,week8,30,38
AR_Anjaw,week9,107,135
AR_Anjaw,week10,288,77
AR_Anjaw,week11,273,50
AR_Anjaw,week12,206,41
AR_Anjaw,week13,219,61
AR_Anjaw,week14,209,110
AR_Anjaw,week15,473,147
AR_Anjaw,week16,185,123
AR_Anjaw,week17,334,209
AR_Anjaw,week18,355,4
AR_Anjaw,week19,85,7
AR_Anjaw,week20,349,0
AR_Anjaw,week21,1374,6
AR_Anjaw,week22,661,69
AR_Anjaw,week23,1108,85
AR_Anjaw,week24,1722,40
AR_Anjaw,week25,813,105
AR_Anjaw,week26,417,122
AR_Anjaw,week27,450,258
AR_Anjaw,week28,154,226
AR_Anjaw,week29,266,124
AR_Anjaw,week30,96,262
AR_Anjaw,week31,91,128
AR_Changlang,week1,91,0
AR_Changlang,week2,429,0
AR_Changlang,week3,182,0
AR_Changlang,week4,266,0
AR_Changlang,week5,243,260
AR_Changlang,week6,460,132
AR_Changlang,week7,806,255
AR_Changlang,week8,605,166
AR_Changlang,week9,773,139
AR_Changlang,week10,460,185
AR_Changlang,week11,194,185
AR_Changlang,week12,1340,427
AR_Changlang,week13,5410,650
AR_Changlang,week14,2149,592
AR_Changlang,week15,3068,374
AR_Changlang,week16,1419,632
AR_Changlang,week17,1072,263
AR_Changlang,week18,2901,10
AR_Changlang,week19,1118,73
AR_Changlang,week20,3764,157
AR_Changlang,week21,2495,133
AR_Changlang,week22,20941,50
AR_Changlang,week23,2143,36
AR_Changlang,week24,4404,459
AR_Changlang,week25,7015,3600
AR_Changlang,week26,2149,1744
AR_Changlang,week27,3509,2514
AR_Changlang,week28,2986,1532
AR_Changlang,week29,2259,900
AR_Changlang,week30,939,1438
AR_Changlang,week31,1126,1575
AR_East Kameng,week1,104,0
AR_East Kameng,week2,0,0
AR_East Kameng,week3,106,0
AR_East Kameng,week4,50,0
AR_East Kameng,week5,263,124
AR_East Kameng,week6,123,27
AR_East Kameng,week7,190,69
AR_East Kameng,week8,100,36
AR_East Kameng,week9,99,119
AR_East Kameng,week10,163,119
AR_East Kameng,week11,187,74
AR_East Kameng,week12,886,122
AR_East Kameng,week13,1519,148
AR_East Kameng,week14,927,120
AR_East Kameng,week15,788,135
AR_East Kameng,week16,577,467
AR_East Kameng,week17,532,261
AR_East Kameng,week18,1289,4
AR_East Kameng,week19,422,3
AR_East Kameng,week20,1065,7
AR_East Kameng,week21,1733,20
AR_East Kameng,week22,1234,25
AR_East Kameng,week23,1534,19
AR_East Kameng,week24,1742,70
AR_East Kameng,week25,975,881
AR_East Kameng,week26,2146,844
AR_East Kameng,week27,536,697
AR_East Kameng,week28,268,545
AR_East Kameng,week29,305,494
AR_East Kameng,week30,558,753
AR_East Kameng,week31,511,690
AR_East Siang,week1,80,0
AR_East Siang,week2,263,0
AR_East Siang,week3,289,0
AR_East Siang,week4,287,76
AR_East Siang,week5,348,266
AR_East Siang,week6,227,209
AR_East Siang,week7,447,164
AR_East Siang,week8,625,252
AR_East Siang,week9,922,137
AR_East Siang,week10,2341,133
