District Id,Time Id,Dose 1,Dose 2
GJ_Amreli,Overall,681117,235123
GJ_Anand,Overall,1119905,328157
GJ_Aravalli,Overall,527873,197111
GJ_Banaskantha,Overall,1557382,582876
GJ_Bharuch,Overall,896223,241123
GJ_Bhavnagar,Overall,723459,220135
GJ_Bhavnagar,Overall,723459,220135
GJ_Botad,Overall,320257,67128
GJ_Chhota Udaipur,Overall,469124,166351
GJ_Dahod,Overall,855899,371410
GJ_Dang,Overall,74967,18762
GJ_Devbhumi Dwarka,Overall,425558,139395
GJ_Gandhinagar,Overall,641025,172304
GJ_Gandhinagar,Overall,641025,172304
GJ_Gir Somnath,Overall,607999,155261
GJ_Jamnagar,Overall,483928,157787
GJ_Jamnagar,Overall,483928,157787
GJ_Junagadh,Overall,646124,209614
GJ_Junagadh,Overall,646124,209614
GJ_Kheda,Overall,993708,302419
GJ_Kutch,Overall,1023180,288473
GJ_Mahisagar,Overall,476470,249605
GJ_Mehsana,Overall,1014998,386217
GJ_Morbi,Overall,468070,111442
GJ_Narmada,Overall,315305,135785
GJ_Navsari,Overall,703184,240507
GJ_Panchmahal,Overall,748478,249714
GJ_Patan,Overall,624009,200051
GJ_Porbandar,Overall,349454,133882
GJ_Rajkot,Overall,860503,228779
GJ_Rajkot,Overall,860503,228779
GJ_Sabarkantha,Overall,755524,239645
GJ_Surat,Overall,820813,199051
GJ_Surat,Overall,820813,199051
GJ_Surendranagar,Overall,814425,165204
GJ_Tapi,Overall,374118,117357
GJ_Vadodara,Overall,899890,258830
GJ_Vadodara,Overall,899890,258830
GJ_Valsad,Overall,879462,281699
HP_Bilaspur,Overall,298260,105126
HP_Chamba,Overall,322073,90706
HP_Hamirpur,Overall,366953,142250
HP_Kangra,Overall,1117078,364688
HP_Kinnaur,Overall,74624,23992
HP_Kullu,Overall,316619,92216
HP_Lahaul and Spiti,Overall,29078,8992
HP_Mandi,Overall,726916,251008
HP_Shimla,Overall,605098,200972
HP_Sirmaur,Overall,373279,83061
HP_Solan,Overall,639627,135057
HP_Una,Overall,414221,136433
HR_Ambala,Overall,685395,275961
HR_Bhiwani,Overall,460014,119169
HR_Charkhi Dadri,Overall,318087,98343
HR_Faridabad,Overall,1099829,339964
HR_Fatehabad,Overall,360738,93569
HR_Gurugram,Overall,1624113,585367
HR_Hisar,Overall,550378,145198
HR_Jhajjar,Overall,427354,119590
HR_Jind,Overall,364070,94111
HR_Kaithal,Overall,366491,95662
HR_Karnal,Overall,596461,211768
HR_Kurukshetra,Overall,374492,121343
HR_Mahendragarh,Overall,384667,120171
HR_Nuh,Overall,168344,28408
HR_Palwal,Overall,372680,83141
HR_Panchkula,Overall,354096,142614
HR_Panipat,Overall,395688,125905
HR_Rewari,Overall,378897,139464
HR_Rohtak,Overall,410940,131170
HR_Sirsa,Overall,480301,137960
HR_Sonipat,Overall,625782,210106
HR_Yamunanagar,Overall,455783,164251
JH_Bokaro,Overall,502796,156133
JH_Chatra,Overall,294399,50423
JH_Deoghar,Overall,411213,89556
JH_Dhanbad,Overall,651287,218481
JH_Dumka,Overall,398031,88652
JH_East Singhbhum,Overall,819480,298521
JH_Garhwa,Overall,314202,65098
JH_Giridih,Overall,628755,110074
JH_Godda,Overall,406584,72367
JH_Gumla,Overall,296789,70110
JH_Hazaribagh,Overall,536291,122160
JH_Jamtara,Overall,258171,58673
JH_Khunti,Overall,158155,49425
JH_Koderma,Overall,281957,55196
JH_Latehar,Overall,186055,37782
JH_Lohardaga,Overall,141273,30595
JH_Pakur,Overall,255357,44365
JH_Palamu,Overall,536085,121430
JH_Ramgarh,Overall,301266,78177
JH_Ranchi,Overall,879811,286315
JH_Sahibganj,Overall,279004,47286
JH_Saraikela-Kharsawan,Overall,301166,76489
JH_Simdega,Overall,209193,37545
JH_West Singhbhum,Overall,398191,91302
JK_Anantnag,Overall,413682,104365
JK_Bandipora,Overall,159176,42870
JK_Baramulla,Overall,459330,129125
JK_Budgam,Overall,324707,105939
JK_Doda,Overall,217695,46155
JK_Ganderbal,Overall,144433,44718
JK_Jammu,Overall,747081,350891
JK_Kathua,Overall,323226,90464
JK_Kishtwar,Overall,106896,32205
JK_Kulgam,Overall,222356,65555
JK_Kupwara,Overall,373535,66456
JK_Pulwama,Overall,262174,75862
JK_Punch,Overall,263110,50301
JK_Rajouri,Overall,313151,60389
JK_Ramban,Overall,170477,53132
JK_Reasi,Overall,187684,39455
JK_Samba,Overall,202890,67095
JK_Shopiyan,Overall,124019,43929
JK_Srinagar,Overall,514816,139229
JK_Udhampur,Overall,315550,86562
KA_Bagalkote,Overall,732062,210818
KA_Ballari,Overall,1025915,325957
KA_Belagavi,Overall,1863436,480505
KA_Bengaluru Rural,Overall,468844,130770
KA_Bengaluru Urban,Overall,1033630,252710
KA_Bengaluru Urban,Overall,1033630,252710
KA_Bidar,Overall,654235,178471
KA_Chamarajanagara,Overall,444773,120758
KA_Chikkaballapura,Overall,539874,177421
KA_Chikkamagaluru,Overall,441466,178484
KA_Chitradurga,Overall,662083,256162
KA_Dakshina Kannada,Overall,1074113,343301
KA_Davanagere,Overall,657220,173794
KA_Dharwad,Overall,790315,221298
KA_Gadag,Overall,392215,139328
KA_Hassan,Overall,775407,253297
KA_Haveri,Overall,551191,127668
KA_Kalaburagi,Overall,807802,211547
