District Id,Overall,Cases
HR_Panipat,Overall,31135
HR_Rewari,Overall,20304
HR_Rohtak,Overall,25879
HR_Sirsa,Overall,29257
HR_Sonipat,Overall,47126
HR_Yamunanagar,Overall,24571
JH_Bokaro,Overall,19415
JH_Chatra,Overall,6027
JH_Deoghar,Overall,10806
JH_Dhanbad,Overall,16519
JH_Dumka,Overall,4632
JH_East Singhbhum,Overall,51789
JH_Garhwa,Overall,6885
JH_Giridih,Overall,8959
JH_Godda,Overall,5836
JH_Gumla,Overall,9894
JH_Hazaribagh,Overall,19582
JH_Jamtara,Overall,5555
JH_Khunti,Overall,7787
JH_Koderma,Overall,12871
JH_Latehar,Overall,7864
JH_Lohardaga,Overall,6691
JH_Pakur,Overall,2550
JH_Palamu,Overall,12289
JH_Ramgarh,Overall,13901
JH_Ranchi,Overall,85489
JH_Sahibganj,Overall,4818
JH_Saraikela-Kharsawan,Overall,7204
JH_Simdega,Overall,7191
JH_West Singhbhum,Overall,13004
JK_Anantnag,Overall,16374
JK_Bandipora,Overall,9552
JK_Baramulla,Overall,23756
JK_Budgam,Overall,23013
JK_Doda,Overall,7405
JK_Ganderbal,Overall,10013
JK_Jammu,Overall,52907
JK_Kathua,Overall,9273
JK_Kishtwar,Overall,4707
JK_Kulgam,Overall,11326
JK_Kupwara,Overall,14151
JK_Pulwama,Overall,15255
JK_Punch,Overall,6289
JK_Rajouri,Overall,11022
JK_Ramban,Overall,5980
JK_Reasi,Overall,6424
JK_Samba,Overall,7130
JK_Shopiyan,Overall,5589
JK_Srinagar,Overall,71794
JK_Udhampur,Overall,11365
KA_Bagalkote,Overall,35136
KA_Ballari,Overall,97511
KA_Belagavi,Overall,78762
KA_Bengaluru Rural,Overall,61271
KA_Bengaluru Urban,Overall,1232597
KA_Bidar,Overall,24284
KA_Chamarajanagara,Overall,32638
KA_Chikkaballapura,Overall,43797
KA_Chikkamagaluru,Overall,49244
KA_Chitradurga,Overall,36163
KA_Dakshina Kannada,Overall,105533
KA_Davanagere,Overall,50543
KA_Dharwad,Overall,60620
KA_Gadag,Overall,26011
KA_Hassan,Overall,108159
KA_Haveri,Overall,21886
KA_Kalaburagi,Overall,61697
KA_Kodagu,Overall,34217
KA_Kolar,Overall,45970
KA_Koppal,Overall,35122
KA_Mandya,Overall,72612
KA_Mysuru,Overall,174533
KA_Raichur,Overall,39905
KA_Ramanagara,Overall,24056
KA_Shivamogga,Overall,67597
KA_Tumakuru,Overall,118577
KA_Udupi,Overall,71645
KA_Uttara Kannada,Overall,54230
KA_Vijayapura,Overall,36179
KA_Yadgir,Overall,27502
KL_Alappuzha,Overall,240519
KL_Ernakulam,Overall,437452
KL_Idukki,Overall,98133
KL_Kannur,Overall,203055
KL_Kasaragod,Overall,116396
KL_Kollam,Overall,288215
KL_Kottayam,Overall,235115
KL_Kozhikode,Overall,394973
KL_Malappuram,Overall,450082
KL_Palakkad,Overall,274982
KL_Pathanamthitta,Overall,138706
KL_Thiruvananthapuram,Overall,346041
KL_Thrissur,Overall,362333
KL_Wayanad,Overall,85539
LA_Kargil,Overall,3575
LA_Leh,Overall,16870
MH_Ahmednagar,Overall,297459
MH_Akola,Overall,58649
MH_Amravati,Overall,96024
MH_Aurangabad,Overall,154611
MH_Beed,Overall,99886
MH_Bhandara,Overall,60040
MH_Buldhana,Overall,84871
MH_Chandrapur,Overall,88711
MH_Dhule,Overall,46277
MH_Gadchiroli,Overall,30300
MH_Gondia,Overall,40535
MH_Hingoli,Overall,18424
MH_Jalgaon,Overall,139822
MH_Jalna,Overall,60344
MH_Kolhapur,Overall,200833
MH_Latur,Overall,91248
MH_Mumbai,Overall,739069
MH_Nagpur,Overall,493087
MH_Nanded,Overall,90666
MH_Nandurbar,Overall,39969
MH_Nashik,Overall,403968
MH_Osmanabad,Overall,65261
MH_Palghar,Overall,133958
MH_Parbhani,Overall,52283
MH_Pune,Overall,1103268
MH_Raigad,Overall,186255
MH_Ratnagiri,Overall,73923
MH_Sangli,Overall,194267
MH_Satara,Overall,228831
MH_Sindhudurg,Overall,49667
MH_Solapur,Overall,196264
MH_Thane,Overall,592750
MH_Wardha,Overall,58345
MH_Washim,Overall,41629
MH_Yavatmal,Overall,76223
ML_East Garo Hills,Overall,1771
ML_East Jaintia Hills,Overall,2244
ML_East Khasi Hills,Overall,34717
ML_North Garo Hills,Overall,1631
ML_Ribhoi,Overall,8472
ML_South Garo Hills,Overall,1169
ML_South West Garo Hills,Overall,1801
ML_South West Khasi Hills,Overall,2035
ML_West Garo Hills,Overall,8599
ML_West Jaintia Hills,Overall,5730
ML_West Khasi Hills,Overall,3219
MN_Churachandpur,Overall,0
MP_Agar Malwa,Overall,3303
MP_Alirajpur,Overall,3501
MP_Anuppur,Overall,9229
MP_Ashoknagar,Overall,3670
MP_Balaghat,Overall,9093
MP_Barwani,Overall,8363
MP_Betul,Overall,12901
MP_Bhind,Overall,2994
MP_Bhopal,Overall,123334
MP_Burhanpur,Overall,2568
MP_Chhatarpur,Overall,7607
MP_Chhindwara,Overall,6732
MP_Damoh,Overall,8120
MP_Datia,Overall,6958
MP_Dewas,Overall,7723
MP_Dhar,Overall,12533
MP_Dindori,Overall,4623
MP_Guna,Overall,5132
MP_Gwalior,Overall,53096
MP_Harda,Overall,5055
MP_Hoshangabad,Overall,10680
MP_Indore,Overall,153017
MP_Jabalpur,Overall,50645
MP_Jhabua,Overall,7688
MP_Katni,Overall,9365
MP_Khandwa,Overall,4040
MP_Khargone,Overall,13965
MP_Mandla,Overall,5188
MP_Mandsaur,Overall,8637
MP_Morena,Overall,8236
MP_Narsinghpur,Overall,11200
MP_Neemuch,Overall,7924
MP_Panna,Overall,7319
MP_Raisen,Overall,9233
MP_Rajgarh,Overall,8700
MP_Ratlam,Overall,17855
MP_Rewa,Overall,16431
MP_Sagar,Overall,16593
MP_Satna,Overall,11965
MP_Sehore,Overall,10136
MP_Seoni,Overall,6774
MP_Shahdol,Overall,10080
MP_Shajapur,Overall,6349
MP_Sheopur,Overall,3998
MP_Shivpuri,Overall,12393
MP_Sidhi,Overall,9219
MP_Singrauli,Overall,8793
MP_Tikamgarh,Overall,6863
MP_Ujjain,Overall,18896
MP_Umaria,Overall,6293
MP_Vidisha,Overall,11918
MZ_Aizawl,Overall,32732
MZ_Champhai,Overall,773
MZ_Kolasib,Overall,4040
MZ_Lawngtlai,Overall,2953
MZ_Lunglei,Overall,3617
MZ_Mamit,Overall,1559
MZ_Saiha,Overall,975
MZ_Serchhip,Overall,878
NL_Dimapur,Overall,13417
NL_Kiphire,Overall,231
NL_Kohima,Overall,8808
NL_Longleng,Overall,270
NL_Mokokchung,Overall,2003
NL_Mon,Overall,1099
NL_Peren,Overall,883
NL_Phek,Overall,476
NL_Tuensang,Overall,993
NL_Wokha,Overall,334
NL_Zunheboto,Overall,583
OR_Angul,Overall,43154
OR_Balangir,Overall,23237
OR_Balasore,Overall,38789
OR_Bargarh,Overall,30800
OR_Bhadrak,Overall,25784
OR_Boudh,Overall,12535
OR_Cuttack,Overall,88737
OR_Deogarh,Overall,6225
OR_Dhenkanal,Overall,19285
OR_Gajapati,Overall,9540
OR_Ganjam,Overall,33521
OR_Jagatsinghpur,Overall,26235
OR_Jajpur,Overall,41855
OR_Jharsuguda,Overall,23644
OR_Kalahandi,Overall,24186
OR_Kandhamal,Overall,11412
OR_Kendrapara,Overall,23834
OR_Kendujhar,Overall,20587
OR_Khordha,Overall,155204
OR_Koraput,Overall,18891
OR_Malkangiri,Overall,11545
OR_Mayurbhanj,Overall,39110
OR_Nabarangapur,Overall,23476
OR_Nayagarh,Overall,22928
OR_Nuapada,Overall,22815
OR_Puri,Overall,44097
OR_Rayagada,Overall,19908
OR_Sambalpur,Overall,30667
OR_Subarnapur,Overall,13103
OR_Sundargarh,Overall,60951
PB_Amritsar,Overall,47144
PB_Barnala,Overall,5917
PB_Bathinda,Overall,41571
PB_Faridkot,Overall,13843
PB_Fatehgarh Sahib,Overall,8808
PB_Fazilka,Overall,20191
PB_Ferozepur,Overall,14248
PB_Gurdaspur,Overall,22255
PB_Hoshiarpur,Overall,30687
PB_Jalandhar,Overall,63173
PB_Kapurthala,Overall,17784
PB_Ludhiana,Overall,87422
PB_Mansa,Overall,15576
PB_Moga,Overall,8632
PB_Pathankot,Overall,18622
PB_Patiala,Overall,48761
PB_Rupnagar,Overall,12881
PB_S.A.S. Nagar,Overall,68528
PB_Sangrur,Overall,15694
PB_Shahid Bhagat Singh Nagar,Overall,11435
PB_Sri Muktsar Sahib,Overall,18733
PB_Tarn Taran,Overall,7991
PY_Karaikal,Overall,15191
PY_Mahe,Overall,5047
PY_Puducherry,Overall,95334
RJ_Ajmer,Overall,37720
RJ_Alwar,Overall,59659
RJ_Banswara,Overall,10005
RJ_Baran,Overall,11993
RJ_Barmer,Overall,15550
RJ_Bharatpur,Overall,19591
RJ_Bhilwara,Overall,29773
RJ_Bikaner,Overall,40311
RJ_Bundi,Overall,7967
RJ_Chittorgarh,Overall,19809
RJ_Churu,Overall,16719
RJ_Dausa,Overall,13351
